Symbol,Identifier,Company,ISIN,Sector,Processed_Company
BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY NEXT 50,bajaj holdings investment
ATGL,ATGLEQN,Adani Total Gas Limited,INE399L01023,NIFTY NEXT 50,adani total gas
HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY NEXT 50,hindustan aeronautics
ABB,ABBEQN,ABB India Limited,INE117A01022,NIFTY NEXT 50,abb india
MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY NEXT 50,marico
JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017,NIFTY NEXT 50,jio financial services
HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034,NIFTY NEXT 50,havells india
BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY NEXT 50,bharat electronics
ADANIGREEN,ADANIGREENEQN,Adani Green Energy Limited,INE364U01010,NIFTY NEXT 50,adani green energy
TRENT,TRENTEQN,Trent Limited,INE849A13017,NIFTY NEXT 50,trent
SRF,SRFEQN,SRF Limited,INE647A01010,NIFTY NEXT 50,srf
TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023,NIFTY NEXT 50,tvs motor
PIDILITIND,PIDILITINDEQN,Pidilite Industries Limited,INE318A01026,NIFTY NEXT 50,pidilite industries
AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY NEXT 50,ambuja cements
VEDL,VEDLEQN,Vedanta Limited,INE205A04011,NIFTY NEXT 50,vedanta
LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017,NIFTY NEXT 50,life corporation of india
SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024,NIFTY NEXT 50,siemens
JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030,NIFTY NEXT 50,jindal steel power
ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011,NIFTY NEXT 50,adani power
TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY NEXT 50,tata power
IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY NEXT 50,indian railway catering and tourism corporation
ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019,NIFTY NEXT 50,icici prudential life
PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY NEXT 50,power finance corporation
CANBK,CANBKEQN,Canara Bank,INE476A01022,NIFTY NEXT 50,canara bank
BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038,NIFTY NEXT 50,berger paints i
PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY NEXT 50,punjab national bank
BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039,NIFTY NEXT 50,bank of baroda
IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010,NIFTY NEXT 50,indian oil corporation
SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015,NIFTY NEXT 50,shree cement
GAIL,GAILEQN,GAIL (India) Limited,INE129A01019,NIFTY NEXT 50,gail india
GODREJCP,GODREJCPEQN,Godrej Consumer Products Limited,INE102D01028,NIFTY NEXT 50,godrej consumer products
COLPAL,COLPALEQN,Colgate Palmolive (India) Limited,INE259A01022,NIFTY NEXT 50,colgate palmolive india
DABUR,DABUREQN,Dabur India Limited,INE016A01026,NIFTY NEXT 50,dabur india
ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027,NIFTY NEXT 50,zydus lifesciences
CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A01024,NIFTY NEXT 50,cholamandalam investment and finance
VBL,VBLEQN,Varun Beverages Limited,INE200M01039,NIFTY NEXT 50,varun beverages
SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016,NIFTY NEXT 50,sbi cards and payment services
MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035,NIFTY NEXT 50,samvardhana motherson international
INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027,NIFTY NEXT 50,interglobe aviation
DMART,DMARTEQN,Avenue Supermarts Limited,INE192R01011,NIFTY NEXT 50,avenue supermarts
ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY MIDCAP 50,escorts kubota
MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY MIDCAP 50,max healthcare institute
OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027,NIFTY MIDCAP 50,oracle financial services software
BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY MIDCAP 50,bharat heavy electricals
TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY MIDCAP 50,tube investments of india
PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021,NIFTY MIDCAP 50,persistent systems
PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY MIDCAP 50,pi industries
INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A08081,NIFTY MIDCAP 50,the indian hotels
MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY MIDCAP 50,mphasis
DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY MIDCAP 50,dixon technologies india
SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021,NIFTY MIDCAP 50,suzlon energy
JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY MIDCAP 50,jubilant foodworks
LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY MIDCAP 50,lt finance
NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY MIDCAP 50,nmdc
POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017,NIFTY MIDCAP 50,polycab india
DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025,NIFTY MIDCAP 50,dalmia bharat
CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY MIDCAP 50,cummins india
ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY MIDCAP 50,astral
GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY MIDCAP 50,gmr airports infrastructure
IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY MIDCAP 50,vodafone idea
PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY MIDCAP 50,petronet lng
INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY MIDCAP 50,indus towers
OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY MIDCAP 50,oberoi realty
GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY MIDCAP 50,godrej properties
SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY MIDCAP 50,steel authority of india
BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A01025,NIFTY MIDCAP 50,bharat forge
YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035,NIFTY MIDCAP 50,yes bank
PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022,NIFTY MIDCAP 50,page industries
LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017,NIFTY MIDCAP 50,lt technology services
COFORGE,COFORGEEQN,Coforge Limited,INE591G01017,NIFTY MIDCAP 50,coforge
HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025,NIFTY MIDCAP 50,hdfc asset management
FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029,NIFTY MIDCAP 50,the federal bank
BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY MIDCAP 50,bandhan bank
HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE094A01015,NIFTY MIDCAP 50,hindustan petroleum corporation
ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY MIDCAP 50,ashok leyland
MRF,MRFEQN,MRF Limited,INE883A01011,NIFTY MIDCAP 50,mrf
UPL,UPLEQN,UPL Limited,INE628A03024,NIFTY MIDCAP 50,upl
BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY MIDCAP 50,balkrishna industries
ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY MIDCAP 50,acc
ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY MIDCAP 50,alkem laboratories
ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY MIDCAP 50,aditya birla capital
M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3,NIFTY MIDCAP 50,mahindra mahindra financial services
IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8,NIFTY MIDCAP 50,idfc first bank
TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY MIDCAP 50,tata communications
MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020,NIFTY MIDCAP 50,max financial services
GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030,NIFTY MIDCAP 50,gujarat gas
LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY MIDCAP 50,lupin
AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY MIDCAP 50,aurobindo pharma
CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY MIDCAP 50,container corporation of india
AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017,NIFTY MIDCAP 50,au small finance bank
MAZDOCK,MAZDOCKEQN,Mazagon Dock Shipbuilders Limited,INE249Z01012,NIFTY MIDCAP 100,mazagon dock shipbuilders
BSE,BSEEQN,BSE Limited,INE118H01025,NIFTY MIDCAP 100,bse
RVNL,RVNLEQN,Rail Vikas Nigam Limited,INE415G01027,NIFTY MIDCAP 100,rail vikas nigam
JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018,NIFTY MIDCAP 100,jsw energy
LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029,NIFTY MIDCAP 100,macrotech developers
MANKIND,MANKINDEQN,Mankind Pharma Limited,INE634S01028,NIFTY MIDCAP 100,mankind pharma
TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021,NIFTY MIDCAP 100,torrent power
BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026,NIFTY MIDCAP 100,bharat dynamics
TATATECH,TATATECHEQN,Tata Technologies Limited,INE142M01025,NIFTY MIDCAP 100,tata technologies
TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012,NIFTY MIDCAP 100,tata elxsi
JSWINFRA,JSWINFRAEQN,JSW Infrastructure Limited,INE880J01026,NIFTY MIDCAP 100,jsw infrastructure
POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C01022,NIFTY MIDCAP 100,poonawalla fincorp
NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029,NIFTY MIDCAP 100,fsn ecommerce ventures
MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014,NIFTY MIDCAP 100,bank of maharashtra
FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F01013,NIFTY MIDCAP 100,fortis healthcare
UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016,NIFTY MIDCAP 100,union bank of india
DEEPAKNTR,DEEPAKNTREQN,Deepak Nitrite Limited,INE288B01029,NIFTY MIDCAP 100,deepak nitrite
SONACOMS,SONACOMSEQN,Sona BLW Precision Forgings Limited,INE073K01018,NIFTY MIDCAP 100,sona blw precision forgings
POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026,NIFTY MIDCAP 100,pb fintech
PAYTM,PAYTMEQN,One 97 Communications Limited,INE982J01020,NIFTY MIDCAP 100,one 97 communications
APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027,NIFTY MIDCAP 100,apl apollo tubes
ZEEL,ZEELEQN,Zee Entertainment Enterprises Limited,INE256A04022,NIFTY MIDCAP 100,zee entertainment enterprises
IDBI,IDBIEQN,IDBI Bank Limited,INE008A01015,NIFTY MIDCAP 100,idbi bank
DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028,NIFTY MIDCAP 100,delhivery
SYNGENE,SYNGENEEQN,Syngene International Limited,INE398R01022,NIFTY MIDCAP 100,syngene international
SJVN,SJVNEQN,SJVN Limited,INE002L01015,NIFTY MIDCAP 100,sjvn
NHPC,NHPCEQN,NHPC Limited,INE848E07542,NIFTY MIDCAP 100,nhpc
SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027,NIFTY MIDCAP 100,sun tv network
LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026,NIFTY MIDCAP 100,lic housing finance
TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012,NIFTY MIDCAP 100,tata chemicals
BIOCON,BIOCONEQN,Biocon Limited,INE376G01013,NIFTY MIDCAP 100,biocon
LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024,NIFTY MIDCAP 100,dr lal path labs ltd
KALYANKJIL,KALYANKJILEQN,Kalyan Jewellers India Limited,INE303R01014,NIFTY MIDCAP 100,kalyan jewellers india
APOLLOTYRE,APOLLOTYREEQN,Apollo Tyres Limited,INE438A01022,NIFTY MIDCAP 100,apollo tyres
PEL,PELEQN,Piramal Enterprises Limited,INE140A08SY3,NIFTY MIDCAP 100,piramal enterprises
BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016,NIFTY MIDCAP 100,bank of india
INDIANB,INDIANBEQN,Indian Bank,INE562A01011,NIFTY MIDCAP 100,indian bank
SUPREMEIND,SUPREMEINDEQN,Supreme Industries Limited,INE195A01028,NIFTY MIDCAP 100,supreme industries
FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015,NIFTY MIDCAP 100,fertilizers and chemicals travancore
PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035,NIFTY MIDCAP 100,patanjali foods
PRESTIGE,PRESTIGEEQN,Prestige Estates Projects Limited,INE811K01011,NIFTY MIDCAP 100,prestige estates projects
GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023,NIFTY MIDCAP 100,gland pharma
CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029,NIFTY MIDCAP 100,cg power and industrial solutions
VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021,NIFTY MIDCAP 100,voltas
OIL,OILEQN,Oil India Limited,INE274J01014,NIFTY MIDCAP 100,oil india
IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038,NIFTY MIDCAP 100,ipca laboratories
LAURUSLABS,LAURUSLABSEQN,Laurus Labs Limited,INE947Q01028,NIFTY MIDCAP 100,laurus labs
IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027,NIFTY MIDCAP 100,indraprastha gas
KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011,NIFTY MIDCAP 100,kpit technologies
ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O01011,NIFTY MIDCAP 100,aditya birla fashion and retail
DEVYANI,DEVYANIEQN,Devyani International Limited,INE872J01023,NIFTY MIDCAP 150,devyani international
FLUOROCHEM,FLUOROCHEMEQN,Gujarat Fluorochemicals Limited,INE09N301011,NIFTY MIDCAP 150,gujarat fluorochemicals
UNOMINDA,UNOMINDAEQN,UNO Minda Limited,INE405E01023,NIFTY MIDCAP 150,uno minda
LLOYDSME,LLOYDSMEEQN,Lloyds Metals And Energy Limited,INE281B01032,NIFTY MIDCAP 150,lloyds metals and energy
JSL,JSLEQN,Jindal Stainless Limited,INE220G01021,NIFTY MIDCAP 150,jindal stainless
KPRMILL,KPRMILLEQN,K.P.R. Mill Limited,INE930H01031,NIFTY MIDCAP 150,kpr mill
HINDZINC,HINDZINCEQN,Hindustan Zinc Limited,INE267A01025,NIFTY MIDCAP 150,hindustan zinc
GICRE,GICREEQN,General Insurance Corporation of India,INE481Y01014,NIFTY MIDCAP 150,corporation of india
AWL,AWLEQN,Adani Wilmar Limited,INE699H01024,NIFTY MIDCAP 150,adani wilmar
LINDEINDIA,LINDEINDIAEQN,Linde India Limited,INE473A01011,NIFTY MIDCAP 150,linde india
RAMCOCEM,RAMCOCEMEQN,The Ramco Cements Limited,INE331A01037,NIFTY MIDCAP 150,the ramco cements
ENDURANCE,ENDURANCEEQN,Endurance Technologies Limited,INE913H01037,NIFTY MIDCAP 150,endurance technologies
GLAXO,GLAXOEQN,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,NIFTY MIDCAP 150,glaxosmithkline pharmaceuticals
TIMKEN,TIMKENEQN,Timken India Limited,INE325A01013,NIFTY MIDCAP 150,timken india
JKCEMENT,JKCEMENTEQN,JK Cement Limited,INE823G01014,NIFTY MIDCAP 150,jk cement
AIAENG,AIAENGEQN,AIA Engineering Limited,INE212H01026,NIFTY MIDCAP 150,aia engineering
