,Symbol,Identifier,Company,ISIN
83,SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015
84,BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012
85,HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034
86,MARICO,MARICOEQN,Marico Limited,INE196A01026
87,ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027
88,BOSCHLTD,BOSCHLTDEQN,Bosch Limited,INE323A01026
89,DABUR,DABUREQN,Dabur India Limited,INE016A01026
90,ICICIGI,ICICIGIEQN,ICICI Lombard General Insurance Company Limited,INE765G01017
91,IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561
92,IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010
93,ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010
94,COLPAL,COLPALEQN,Colgate Palmolive (India) Limited,INE259A01022
95,GODREJCP,GODREJCPEQN,Godrej Consumer Products Limited,INE102D01028
96,ADANIGREEN,ADANIGREENEQN,Adani Green Energy Limited,INE364U01010
97,SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016
98,UNITDSPR,UNITDSPREQN,United Spirits Limited,INE854D01024
99,DMART,DMARTEQN,Avenue Supermarts Limited,INE192R01011
100,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020
101,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018
102,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029
103,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016
104,PIIND,PIINDEQN,PI Industries Limited,INE603J01030
105,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017
106,LTF,LTFEQN,L&T Finance Limited,INE498L01015
107,BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026
108,INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016
109,BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014
110,GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039
111,NMDC,NMDCEQN,NMDC Limited,INE584A01023
112,OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010
113,SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011
114,DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020
115,AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017
116,ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013
117,TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010
118,TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013
119,UPL,UPLEQN,UPL Limited,INE628A03016
120,CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025
121,DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025
122,ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014
123,LUPIN,LUPINEQN,Lupin Limited,INE326A01037
124,MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010
125,ASTRAL,ASTRALEQN,Astral Limited,INE006I01046
126,CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020
127,PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014
128,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014
129,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037
130,ACC,ACCEQN,ACC Limited,INE012A01025
131,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017
132,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026
133,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3
134,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021
135,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035
136,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021
137,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027
