title,url,type
CrowdStrike-related outage affected  8.5 million Windows devices: Microsoft,https://www.moneycontrol.com/news/world/crowdstrike-related-outage-affected-8-5-million-windows-devices-world-12773789.html,World
"Biden fact-checks Trump's speech, vows to fight on as he prepares to hit the campaign trail again",https://www.moneycontrol.com/news/world/biden-fact-checks-trumps-speech-vows-to-fight-on-as-he-prepares-to-hit-the-campaign-trail-again-12773782.html,World
"12 dead, over 60 missing in bridge collapse, flash floods in China",https://www.moneycontrol.com/news/world/12-dead-over-60-missing-in-bridge-collapse-flash-floods-in-china-12773711.html,World
Bangladesh army enforces curfew as student-led protests spiral,https://www.moneycontrol.com/news/world/bangladesh-army-enforces-curfew-as-student-led-protests-spiral-12773627.html,World
Jane Street gets millennium trade secrets countersuit tossed,https://www.moneycontrol.com/news/world/jane-street-gets-millennium-trade-secrets-countersuit-tossed-12773632.html,World
"Sheila Jackson Lee, strong Democratic voice in US Congress, has died, family says",https://www.moneycontrol.com/news/world/sheila-jackson-lee-strong-democratic-voice-in-us-congress-has-died-family-says-12773600.html,World
"Hong Kong International Airport back to normal operations, Chinese state media says",https://www.moneycontrol.com/news/world/hong-kong-international-airport-back-to-normal-operations-chinese-state-media-says-12773533.html,World
Trump pledges to end Ukraine conflict if re-elected; Zelenskyy expresses support,https://www.moneycontrol.com/news/world/trump-pledges-to-end-ukraine-conflict-if-re-elected-zelenskyy-expresses-support-12773535.html,World
"Oil tankers on fire after colliding close to Singapore, crew rescued",https://www.moneycontrol.com/news/world/oil-tankers-on-fire-after-colliding-close-to-singapore-crew-rescued-12773554.html,World
Buffett’s Berkshire Hathaway sells stake worth $1.48 billion in Bank of America,https://www.moneycontrol.com/news/business/warren-buffett-berkshire-hathaway-bank-of-america-12773536.html,World
"COP29 host Azerbaijan launches climate fund, shelves fossil fuel levy",https://www.moneycontrol.com/news/world/cop29-host-azerbaijan-launches-climate-fund-shelves-fossil-fuel-levy-12773527.html,World
Congressman Krishnamoorthi denounces racist attack on Harmeet Dhillon for Sikh prayer at RNC,https://www.moneycontrol.com/news/world/congressman-krishnamoorthi-denounces-racist-attack-on-harmeet-dhillon-for-sikh-prayer-at-rnc-12773522.html,World
Nigeria fines Meta USD 220 million for violating data protection and consumer rights laws,https://www.moneycontrol.com/news/world/nigeria-fines-meta-usd-220-million-for-violating-data-protection-and-consumer-rights-laws-12773521.html,World
