Symbol,Identifier,Company,ISIN,Sector
FDC,FDCEQN,FDC Limited,INE258B01022,NIFTY500 MULTICAP 50:25:25
FLUOROCHEM,FLUOROCHEMEQN,Gujarat Fluorochemicals Limited,INE09N301011,NIFTY500 MULTICAP 50:25:25
LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY500 MULTICAP 50:25:25
NATIONALUM,NATIONALUMEQN,National Aluminium Company Limited,INE139A01034,NIFTY500 MULTICAP 50:25:25
NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY500 MULTICAP 50:25:25
BLS,BLSEQN,BLS International Services Limited,INE153T01027,NIFTY500 MULTICAP 50:25:25
ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015,NIFTY500 MULTICAP 50:25:25
PRESTIGE,PRESTIGEEQN,Prestige Estates Projects Limited,INE811K01011,NIFTY500 MULTICAP 50:25:25
THERMAX,THERMAXEQN,Thermax Limited,INE152A01029,NIFTY500 MULTICAP 50:25:25
LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026,NIFTY500 MULTICAP 50:25:25
CHOLAHLDNG,CHOLAHLDNGEQN,Cholamandalam Financial Holdings Limited,INE149A01033,NIFTY500 MULTICAP 50:25:25
HINDALCO,HINDALCOEQN,Hindalco Industries Limited,IN9038A01010,NIFTY500 MULTICAP 50:25:25
KEC,KECEQN,KEC International Limited,INE389H01022,NIFTY500 MULTICAP 50:25:25
JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030,NIFTY500 MULTICAP 50:25:25
AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY500 MULTICAP 50:25:25
CREDITACC,CREDITACCEQN,CREDITACCESS GRAMEEN LIMITED,INE741K01010,NIFTY500 MULTICAP 50:25:25
VEDL,VEDLEQN,Vedanta Limited,INE205A01025,NIFTY500 MULTICAP 50:25:25
JINDALSAW,JINDALSAWEQN,Jindal Saw Limited,INE324A01024,NIFTY500 MULTICAP 50:25:25
ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011,NIFTY500 MULTICAP 50:25:25
BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024,NIFTY500 MULTICAP 50:25:25
MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY500 MULTICAP 50:25:25
VBL,VBLEQN,Varun Beverages Limited,INE200M01039,NIFTY500 MULTICAP 50:25:25
NTPC,NTPCEQN,NTPC Limited,INE733E07JE0,NIFTY500 MULTICAP 50:25:25
SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07FY9,NIFTY500 MULTICAP 50:25:25
INOXWIND,INOXWINDEQN,Inox Wind Limited,INE066P01011,NIFTY500 MULTICAP 50:25:25
KNRCON,KNRCONEQN,KNR Constructions Limited,INE634I01029,NIFTY500 MULTICAP 50:25:25
JBMA,JBMAEQN,JBM Auto Limited,INE927D01044,NIFTY500 MULTICAP 50:25:25
NH,NHEQN,Narayana Hrudayalaya Ltd.,INE410P01011,NIFTY500 MULTICAP 50:25:25
CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A01024,NIFTY500 MULTICAP 50:25:25
IIFL,IIFLEQN,IIFL Finance Limited,INE530B07138,NIFTY500 MULTICAP 50:25:25
PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022,NIFTY500 MULTICAP 50:25:25
ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY500 MULTICAP 50:25:25
HUDCO,HUDCOEQN,Housing & Urban Development Corporation Limited,INE031A01017,NIFTY500 MULTICAP 50:25:25
NIACL,NIACLEQN,The New India Assurance Company Limited,INE470Y01017,NIFTY500 MULTICAP 50:25:25
BALRAMCHIN,BALRAMCHINEQN,Balrampur Chini Mills Limited,INE119A01028,NIFTY500 MULTICAP 50:25:25
GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021,NIFTY500 MULTICAP 50:25:25
MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035,NIFTY500 MULTICAP 50:25:25
JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038,NIFTY500 MULTICAP 50:25:25
SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY500 MULTICAP 50:25:25
GRAPHITE,GRAPHITEEQN,Graphite India Limited,INE371A01025,NIFTY500 MULTICAP 50:25:25
IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY500 MULTICAP 50:25:25
BIKAJI,BIKAJIEQN,Bikaji Foods International Limited,INE00E101023,NIFTY500 MULTICAP 50:25:25
ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O01011,NIFTY500 MULTICAP 50:25:25
CONCORDBIO,CONCORDBIOEQN,Concord Biotech Limited,INE338H01029,NIFTY500 MULTICAP 50:25:25
M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026,NIFTY500 MULTICAP 50:25:25
HINDZINC,HINDZINCEQN,Hindustan Zinc Limited,INE267A01025,NIFTY500 MULTICAP 50:25:25
EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021,NIFTY500 MULTICAP 50:25:25
CRAFTSMAN,CRAFTSMANEQN,Craftsman Automation Limited,INE00LO01017,NIFTY500 MULTICAP 50:25:25
WIPRO,WIPROEQN,Wipro Limited,INE075A01022,NIFTY500 MULTICAP 50:25:25
BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY500 MULTICAP 50:25:25
ONGC,ONGCEQN,Oil & Natural Gas Corporation Limited,INE213A01029,NIFTY500 MULTICAP 50:25:25
ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042,NIFTY500 MULTICAP 50:25:25
BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010,NIFTY500 MULTICAP 50:25:25
RTNINDIA,RTNINDIAEQN,RattanIndia Enterprises Limited,INE834M01019,NIFTY500 MULTICAP 50:25:25
BOSCHLTD,BOSCHLTDEQN,Bosch Limited,INE323A01026,NIFTY500 MULTICAP 50:25:25
KIMS,KIMSEQN,Krishna Institute of Medical Sciences Limited,INE967H01017,NIFTY500 MULTICAP 50:25:25
TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036,NIFTY500 MULTICAP 50:25:25
HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026,NIFTY500 MULTICAP 50:25:25
SAMMAANCAP,SAMMAANCAPEQN,Sammaan Capital Limited,INE148I07KQ4,NIFTY500 MULTICAP 50:25:25
M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D01024,NIFTY500 MULTICAP 50:25:25
NBCC,NBCCEQN,NBCC (India) Limited,INE095N01031,NIFTY500 MULTICAP 50:25:25
KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011,NIFTY500 MULTICAP 50:25:25
TATASTEEL,TATASTEELEQN,Tata Steel Limited,IN9081A01010,NIFTY500 MULTICAP 50:25:25
CIEINDIA,CIEINDIAEQN,CIE Automotive India Limited,INE536H01010,NIFTY500 MULTICAP 50:25:25
ASTERDM,ASTERDMEQN,Aster DM Healthcare Limited,INE914M01019,NIFTY500 MULTICAP 50:25:25
JSL,JSLEQN,Jindal Stainless Limited,INE220G01021,NIFTY500 MULTICAP 50:25:25
LT,LTEQN,Larsen & Toubro Limited,INE018A01030,NIFTY500 MULTICAP 50:25:25
KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028,NIFTY500 MULTICAP 50:25:25
SBIN,SBINEQN,State Bank of India,INE062A08066,NIFTY500 MULTICAP 50:25:25
TTML,TTMLEQN,Tata Teleservices (Maharashtra) Limited,INE517B01013,NIFTY500 MULTICAP 50:25:25
IEX,IEXEQN,Indian Energy Exchange Limited,INE022Q01020,NIFTY500 MULTICAP 50:25:25
HINDCOPPER,HINDCOPPEREQN,Hindustan Copper Limited,INE531E01026,NIFTY500 MULTICAP 50:25:25
TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023,NIFTY500 MULTICAP 50:25:25
TIMKEN,TIMKENEQN,Timken India Limited,INE325A01013,NIFTY500 MULTICAP 50:25:25
SHYAMMETL,SHYAMMETLEQN,Shyam Metalics and Energy Limited,INE810G01011,NIFTY500 MULTICAP 50:25:25
GICRE,GICREEQN,General Insurance Corporation of India,INE481Y01014,NIFTY500 MULTICAP 50:25:25
RAYMONDLSL,RAYMONDLSLBEN,Raymond Lifestyle Limited,INE02ID01020,NIFTY500 MULTICAP 50:25:25
FINCABLES,FINCABLESEQN,Finolex Cables Limited,INE235A01022,NIFTY500 MULTICAP 50:25:25
QUESS,QUESSEQN,Quess Corp Limited,INE615P01015,NIFTY500 MULTICAP 50:25:25
HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034,NIFTY500 MULTICAP 50:25:25
COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014,NIFTY500 MULTICAP 50:25:25
AMBER,AMBEREQN,Amber Enterprises India Limited,INE371P01015,NIFTY500 MULTICAP 50:25:25
MANAPPURAM,MANAPPURAMEQN,Manappuram Finance Limited,INE522D07735,NIFTY500 MULTICAP 50:25:25
CANBK,CANBKEQN,Canara Bank,INE476A01022,NIFTY500 MULTICAP 50:25:25
DOMS,DOMSEQN,DOMS Industries Limited,INE321T01012,NIFTY500 MULTICAP 50:25:25
VIJAYA,VIJAYAEQN,Vijaya Diagnostic Centre Limited,INE043W01024,NIFTY500 MULTICAP 50:25:25
PEL,PELEQN,Piramal Enterprises Limited,INE140A08SX5,NIFTY500 MULTICAP 50:25:25
CYIENT,CYIENTEQN,Cyient Limited,INE136B01020,NIFTY500 MULTICAP 50:25:25
BLUESTARCO,BLUESTARCOEQN,Blue Star Limited,INE472A01039,NIFTY500 MULTICAP 50:25:25
CASTROLIND,CASTROLINDEQN,Castrol India Limited,INE172A01027,NIFTY500 MULTICAP 50:25:25
OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027,NIFTY500 MULTICAP 50:25:25
IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010,NIFTY500 MULTICAP 50:25:25
HFCL,HFCLEQN,HFCL Limited,INE548A01028,NIFTY500 MULTICAP 50:25:25
INDIANB,INDIANBEQN,Indian Bank,INE562A01011,NIFTY500 MULTICAP 50:25:25
LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017,NIFTY500 MULTICAP 50:25:25
JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018,NIFTY500 MULTICAP 50:25:25
NCC,NCCEQN,NCC Limited,INE868B01028,NIFTY500 MULTICAP 50:25:25
BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039,NIFTY500 MULTICAP 50:25:25
LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY500 MULTICAP 50:25:25
LLOYDSME,LLOYDSMEEQN,Lloyds Metals And Energy Limited,INE281B01032,NIFTY500 MULTICAP 50:25:25
INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A08081,NIFTY500 MULTICAP 50:25:25
ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY500 MULTICAP 50:25:25
MUTHOOTFIN,MUTHOOTFINEQN,Muthoot Finance Limited,INE414G07233,NIFTY500 MULTICAP 50:25:25
RBLBANK,RBLBANKEQN,RBL Bank Limited,INE976G01028,NIFTY500 MULTICAP 50:25:25
SUMICHEM,SUMICHEMEQN,Sumitomo Chemical India Limited,INE258G01013,NIFTY500 MULTICAP 50:25:25
IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CH5,NIFTY500 MULTICAP 50:25:25
PNCINFRA,PNCINFRAEQN,PNC Infratech Limited,INE195J01029,NIFTY500 MULTICAP 50:25:25
DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028,NIFTY500 MULTICAP 50:25:25
FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015,NIFTY500 MULTICAP 50:25:25
HAPPSTMNDS,HAPPSTMNDSEQN,Happiest Minds Technologies Limited,INE419U01012,NIFTY500 MULTICAP 50:25:25
RECLTD,RECLTDEQN,REC Limited,INE020B07IC4,NIFTY500 MULTICAP 50:25:25
APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024,NIFTY500 MULTICAP 50:25:25
ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011,NIFTY500 MULTICAP 50:25:25
PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY500 MULTICAP 50:25:25
ZFCVINDIA,ZFCVINDIAEQN,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,NIFTY500 MULTICAP 50:25:25
APARINDS,APARINDSEQN,Apar Industries Limited,INE372A01015,NIFTY500 MULTICAP 50:25:25
TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY500 MULTICAP 50:25:25
MASTEK,MASTEKEQN,Mastek Limited,INE759A01021,NIFTY500 MULTICAP 50:25:25
INFY,INFYEQN,Infosys Limited,INE009A01021,NIFTY500 MULTICAP 50:25:25
GLS,GLSEQN,Glenmark Life Sciences Limited,INE03Q201024,NIFTY500 MULTICAP 50:25:25
JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017,NIFTY500 MULTICAP 50:25:25
ABB,ABBEQN,ABB India Limited,INE117A01022,NIFTY500 MULTICAP 50:25:25
JKLAKSHMI,JKLAKSHMIEQN,JK Lakshmi Cement Limited,INE786A01032,NIFTY500 MULTICAP 50:25:25
RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018,NIFTY500 MULTICAP 50:25:25
CDSL,CDSLEQN,Central Depository Services (India) Limited,INE736A01011,NIFTY500 MULTICAP 50:25:25
GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY500 MULTICAP 50:25:25
ATUL,ATULEQN,Atul Limited,INE100A01010,NIFTY500 MULTICAP 50:25:25
JKCEMENT,JKCEMENTEQN,JK Cement Limited,INE823G01014,NIFTY500 MULTICAP 50:25:25
HOMEFIRST,HOMEFIRSTEQN,Home First Finance Company India Limited,INE481N01025,NIFTY500 MULTICAP 50:25:25
HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014,NIFTY500 MULTICAP 50:25:25
VARROC,VARROCEQN,Varroc Engineering Limited,INE665L01035,NIFTY500 MULTICAP 50:25:25
360ONE,360ONEEQN,360 ONE WAM LIMITED,INE466L01038,NIFTY500 MULTICAP 50:25:25
CELLO,CELLOEQN,Cello World Limited,INE0LMW01024,NIFTY500 MULTICAP 50:25:25
LXCHEM,LXCHEMEQN,Laxmi Organic Industries Limited,INE576O01020,NIFTY500 MULTICAP 50:25:25
INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012,NIFTY500 MULTICAP 50:25:25
ROUTE,ROUTEEQN,ROUTE MOBILE LIMITED,INE450U01017,NIFTY500 MULTICAP 50:25:25
J&KBANK,J&KBANKEQN,The Jammu & Kashmir Bank Limited,INE168A01041,NIFTY500 MULTICAP 50:25:25
BSOFT,BSOFTEQN,BIRLASOFT LIMITED,INE836A01035,NIFTY500 MULTICAP 50:25:25
INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027,NIFTY500 MULTICAP 50:25:25
LATENTVIEW,LATENTVIEWEQN,Latent View Analytics Limited,INE0I7C01011,NIFTY500 MULTICAP 50:25:25
EXIDEIND,EXIDEINDEQN,Exide Industries Limited,INE302A01020,NIFTY500 MULTICAP 50:25:25
TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,NIFTY500 MULTICAP 50:25:25
TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021,NIFTY500 MULTICAP 50:25:25
CHALET,CHALETEQN,Chalet Hotels Limited,INE427F01016,NIFTY500 MULTICAP 50:25:25
SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015,NIFTY500 MULTICAP 50:25:25
RAILTEL,RAILTELEQN,Railtel Corporation Of India Limited,INE0DD101019,NIFTY500 MULTICAP 50:25:25
BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A01025,NIFTY500 MULTICAP 50:25:25
VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021,NIFTY500 MULTICAP 50:25:25
FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F01013,NIFTY500 MULTICAP 50:25:25
IDFC,IDFCEQN,IDFC Limited,INE043D07260,NIFTY500 MULTICAP 50:25:25
GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY500 MULTICAP 50:25:25
ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024,NIFTY500 MULTICAP 50:25:25
CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY500 MULTICAP 50:25:25
CIPLA,CIPLAEQN,Cipla Limited,INE059A01026,NIFTY500 MULTICAP 50:25:25
SCHAEFFLER,SCHAEFFLEREQN,Schaeffler India Limited,INE513A01022,NIFTY500 MULTICAP 50:25:25
HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027,NIFTY500 MULTICAP 50:25:25
GAIL,GAILEQN,GAIL (India) Limited,INE129A01019,NIFTY500 MULTICAP 50:25:25
BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY500 MULTICAP 50:25:25
AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034,NIFTY500 MULTICAP 50:25:25
ENDURANCE,ENDURANCEEQN,Endurance Technologies Limited,INE913H01037,NIFTY500 MULTICAP 50:25:25
AAVAS,AAVASEQN,Aavas Financiers Limited,INE216P01012,NIFTY500 MULTICAP 50:25:25
ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY500 MULTICAP 50:25:25
GLENMARK,GLENMARKEQN,Glenmark Pharmaceuticals Limited,INE935A01035,NIFTY500 MULTICAP 50:25:25
ISEC,ISECEQN,ICICI Securities Limited,INE763G01038,NIFTY500 MULTICAP 50:25:25
AWL,AWLEQN,Adani Wilmar Limited,INE699H01024,NIFTY500 MULTICAP 50:25:25
CHAMBLFERT,CHAMBLFERTEQN,Chambal Fertilizers & Chemicals Limited,INE085A01013,NIFTY500 MULTICAP 50:25:25
DLF,DLFEQN,DLF Limited,INE271C01023,NIFTY500 MULTICAP 50:25:25
KAJARIACER,KAJARIACEREQN,Kajaria Ceramics Limited,INE217B01036,NIFTY500 MULTICAP 50:25:25
SWSOLAR,SWSOLAREQN,Sterling and Wilson Renewable Energy Limited,INE00M201021,NIFTY500 MULTICAP 50:25:25
CUB,CUBEQN,City Union Bank Limited,INE491A01021,NIFTY500 MULTICAP 50:25:25
WESTLIFE,WESTLIFEEQN,WESTLIFE FOODWORLD LIMITED,INE274F01020,NIFTY500 MULTICAP 50:25:25
JUBLPHARMA,JUBLPHARMAEQN,Jubilant Pharmova Limited,INE700A01033,NIFTY500 MULTICAP 50:25:25
NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024,NIFTY500 MULTICAP 50:25:25
TITAN,TITANEQN,Titan Company Limited,INE280A07025,NIFTY500 MULTICAP 50:25:25
TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012,NIFTY500 MULTICAP 50:25:25
PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY500 MULTICAP 50:25:25
HBLPOWER,HBLPOWEREQN,HBL Power Systems Limited,INE292B01021,NIFTY500 MULTICAP 50:25:25
IDBI,IDBIEQN,IDBI Bank Limited,INE008A08259,NIFTY500 MULTICAP 50:25:25
GAEL,GAELEQN,Gujarat Ambuja Exports Limited,INE036B01030,NIFTY500 MULTICAP 50:25:25
BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052,NIFTY500 MULTICAP 50:25:25
DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY500 MULTICAP 50:25:25
WELSPUNLIV,WELSPUNLIVEQN,Welspun Living Limited,INE192B01031,NIFTY500 MULTICAP 50:25:25
SUNTECK,SUNTECKEQN,Sunteck Realty Limited,INE805D01034,NIFTY500 MULTICAP 50:25:25
MINDACORP,MINDACORPEQN,Minda Corporation Limited,INE842C01021,NIFTY500 MULTICAP 50:25:25
POWERINDIA,POWERINDIAEQN,Hitachi Energy India Limited,INE07Y701011,NIFTY500 MULTICAP 50:25:25
KPIL,KPILEQN,Kalpataru Projects International Limited,INE220B01022,NIFTY500 MULTICAP 50:25:25
LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019,NIFTY500 MULTICAP 50:25:25
BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY500 MULTICAP 50:25:25
POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010,NIFTY500 MULTICAP 50:25:25
MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010,NIFTY500 MULTICAP 50:25:25
ELECON,ELECONEQN,Elecon Engineering Company Limited,INE205B01031,NIFTY500 MULTICAP 50:25:25
HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013,NIFTY500 MULTICAP 50:25:25
RKFORGE,RKFORGEEQN,Ramkrishna Forgings Limited,INE399G01023,NIFTY500 MULTICAP 50:25:25
IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038,NIFTY500 MULTICAP 50:25:25
BEML,BEMLEQN,BEML Limited,INE258A01016,NIFTY500 MULTICAP 50:25:25
HAPPYFORGE,HAPPYFORGEEQN,Happy Forgings Limited,INE330T01021,NIFTY500 MULTICAP 50:25:25
KFINTECH,KFINTECHEQN,Kfin Technologies Limited,INE138Y01010,NIFTY500 MULTICAP 50:25:25
PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY500 MULTICAP 50:25:25
JMFINANCIL,JMFINANCILEQN,JM Financial Limited,INE780C01023,NIFTY500 MULTICAP 50:25:25
JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY500 MULTICAP 50:25:25
SIGNATURE,SIGNATUREEQN,Signatureglobal (India) Limited,INE903U01023,NIFTY500 MULTICAP 50:25:25
ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY500 MULTICAP 50:25:25
MMTC,MMTCEQN,MMTC Limited,INE123F01029,NIFTY500 MULTICAP 50:25:25
TRENT,TRENTEQN,Trent Limited,INE849A01020,NIFTY500 MULTICAP 50:25:25
NHPC,NHPCEQN,NHPC Limited,INE848E07542,NIFTY500 MULTICAP 50:25:25
BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A07039,NIFTY500 MULTICAP 50:25:25
SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024,NIFTY500 MULTICAP 50:25:25
JKPAPER,JKPAPEREQN,JK Paper Limited,INE789E01012,NIFTY500 MULTICAP 50:25:25
INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY500 MULTICAP 50:25:25
OLECTRA,OLECTRAEQN,Olectra Greentech Limited,INE260D01016,NIFTY500 MULTICAP 50:25:25
TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY500 MULTICAP 50:25:25
HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027,NIFTY500 MULTICAP 50:25:25
AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY500 MULTICAP 50:25:25
MRPL,MRPLEQN,Mangalore Refinery and Petrochemicals Limited,INE103A01014,NIFTY500 MULTICAP 50:25:25
OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY500 MULTICAP 50:25:25
MGL,MGLEQN,Mahanagar Gas Limited,INE002S01010,NIFTY500 MULTICAP 50:25:25
IRCON,IRCONEQN,Ircon International Limited,INE962Y01021,NIFTY500 MULTICAP 50:25:25
BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028,NIFTY500 MULTICAP 50:25:25
ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY500 MULTICAP 50:25:25
CEATLTD,CEATLTDEQN,CEAT Limited,INE482A01020,NIFTY500 MULTICAP 50:25:25
HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE094A01015,NIFTY500 MULTICAP 50:25:25
RATNAMANI,RATNAMANIEQN,Ratnamani Metals & Tubes Limited,INE703B01027,NIFTY500 MULTICAP 50:25:25
TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012,NIFTY500 MULTICAP 50:25:25
BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026,NIFTY500 MULTICAP 50:25:25
BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY500 MULTICAP 50:25:25
AETHER,AETHEREQN,Aether Industries Limited,INE0BWX01014,NIFTY500 MULTICAP 50:25:25
ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010,NIFTY500 MULTICAP 50:25:25
TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022,NIFTY500 MULTICAP 50:25:25
ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021,NIFTY500 MULTICAP 50:25:25
TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY500 MULTICAP 50:25:25
DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051,NIFTY500 MULTICAP 50:25:25
HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY500 MULTICAP 50:25:25
MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY500 MULTICAP 50:25:25
ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY500 MULTICAP 50:25:25
MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY500 MULTICAP 50:25:25
AFFLE,AFFLEEQN,Affle (India) Limited,INE00WC01027,NIFTY500 MULTICAP 50:25:25
CAMS,CAMSEQN,Computer Age Management Services Limited,INE596I01012,NIFTY500 MULTICAP 50:25:25
ANGELONE,ANGELONEEQN,Angel One Limited,INE732I01013,NIFTY500 MULTICAP 50:25:25
PRINCEPIPE,PRINCEPIPEEQN,Prince Pipes And Fittings Limited,INE689W01016,NIFTY500 MULTICAP 50:25:25
TV18BRDCST,TV18BRDCSTEQN,TV18 Broadcast Limited,IN9886H01017,NIFTY500 MULTICAP 50:25:25
JUSTDIAL,JUSTDIALEQN,Just Dial Limited,INE599M01018,NIFTY500 MULTICAP 50:25:25
LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024,NIFTY500 MULTICAP 50:25:25
INDIAMART,INDIAMARTEQN,Indiamart Intermesh Limited,INE933S01016,NIFTY500 MULTICAP 50:25:25
NSLNISP,NSLNISPEQN,NMDC Steel Limited,INE0NNS01018,NIFTY500 MULTICAP 50:25:25
ITC,ITCEQN,ITC Limited,INE154A01025,NIFTY500 MULTICAP 50:25:25
CGCL,CGCLEQN,Capri Global Capital Limited,INE180C01042,NIFTY500 MULTICAP 50:25:25
SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A01036,NIFTY500 MULTICAP 50:25:25
EQUITASBNK,EQUITASBNKEQN,Equitas Small Finance Bank Limited,INE063P01018,NIFTY500 MULTICAP 50:25:25
