Symbol,Identifier,Company,ISIN,Sector
DLF,DLFEQN,DLF Limited,INE271C01023,NIFTY NEXT 50
NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024,NIFTY NEXT 50
PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY NEXT 50
BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY NEXT 50
PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY NEXT 50
TRENT,TRENTEQN,Trent Limited,INE849A13017,NIFTY NEXT 50
SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024,NIFTY NEXT 50
TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY NEXT 50
AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY NEXT 50
BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY NEXT 50
ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010,NIFTY NEXT 50
HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY NEXT 50
MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY NEXT 50
IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561,NIFTY NEXT 50
ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027,NIFTY NEXT 50
IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY NEXT 50
SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016,NIFTY NEXT 50
TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028,NIFTY NEXT 50
ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019,NIFTY NEXT 50
GODREJCP,GODREJCPEQN,Godrej Consumer Products Limited,INE102D01028,NIFTY NEXT 50
DABUR,DABUREQN,Dabur India Limited,INE016A01026,NIFTY NEXT 50
UNITDSPR,UNITDSPREQN,United Spirits Limited,INE854D01024,NIFTY NEXT 50
SRF,SRFEQN,SRF Limited,INE647A01010,NIFTY NEXT 50
BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038,NIFTY NEXT 50
ATGL,ATGLEQN,Adani Total Gas Limited,INE399L01023,NIFTY NEXT 50
PIDILITIND,PIDILITINDEQN,Pidilite Industries Limited,INE318A01026,NIFTY NEXT 50
COLPAL,COLPALEQN,Colgate Palmolive (India) Limited,INE259A01022,NIFTY NEXT 50
ADANIGREEN,ADANIGREENEQN,Adani Green Energy Limited,INE364U01010,NIFTY NEXT 50
ICICIGI,ICICIGIEQN,ICICI Lombard General Insurance Company Limited,INE765G01017,NIFTY NEXT 50
DMART,DMARTEQN,Avenue Supermarts Limited,INE192R01011,NIFTY NEXT 50
LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY MIDCAP 50
NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY MIDCAP 50
AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY MIDCAP 50
MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY MIDCAP 50
PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022,NIFTY MIDCAP 50
ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY MIDCAP 50
SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY MIDCAP 50
IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY MIDCAP 50
BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY MIDCAP 50
M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D01024,NIFTY MIDCAP 50
OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027,NIFTY MIDCAP 50
LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY MIDCAP 50
INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A08081,NIFTY MIDCAP 50
ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY MIDCAP 50
