,Symbol,Identifier,Company,ISIN,Sector
1504,GICRE,GICREEQN,General Insurance Corporation of India,INE481Y01014,NIFTY500 MULTICAP 50:25:25
1505,SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07PO9,NIFTY500 MULTICAP 50:25:25
1506,NETWORK18,NETWORK18EQN,Network18 Media & Investments Limited,INE870H13018,NIFTY500 MULTICAP 50:25:25
1507,ARE&M,ARE&MEQN,Amara Raja Energy & Mobility Limited,INE885A01032,NIFTY500 MULTICAP 50:25:25
1508,SOLARINDS,SOLARINDSEQN,Solar Industries India Limited,INE343H01029,NIFTY500 MULTICAP 50:25:25
1509,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020,NIFTY500 MULTICAP 50:25:25
1510,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY500 MULTICAP 50:25:25
1511,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY500 MULTICAP 50:25:25
1512,PEL,PELEQN,Piramal Enterprises Limited,INE140A01024,NIFTY500 MULTICAP 50:25:25
1513,CIPLA,CIPLAEQN,Cipla Limited,INE059A01026,NIFTY500 MULTICAP 50:25:25
1514,TV18BRDCST,TV18BRDCSTEQN,TV18 Broadcast Limited,INE886H01027,NIFTY500 MULTICAP 50:25:25
1515,MGL,MGLEQN,Mahanagar Gas Limited,INE002S01010,NIFTY500 MULTICAP 50:25:25
1516,DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024,NIFTY500 MULTICAP 50:25:25
1517,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY500 MULTICAP 50:25:25
1518,PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY500 MULTICAP 50:25:25
1519,TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY500 MULTICAP 50:25:25
1520,HSCL,HSCLEQN,Himadri Speciality Chemical Limited,INE019C01026,NIFTY500 MULTICAP 50:25:25
1521,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY500 MULTICAP 50:25:25
1522,SJVN,SJVNEQN,SJVN Limited,INE002L01015,NIFTY500 MULTICAP 50:25:25
1523,FIVESTAR,FIVESTAREQN,Five-Star Business Finance Limited,INE128S01021,NIFTY500 MULTICAP 50:25:25
1524,ZENSARTECH,ZENSARTECHEQN,Zensar Technologies Limited,INE520A01027,NIFTY500 MULTICAP 50:25:25
1525,SWSOLAR,SWSOLAREQN,Sterling and Wilson Renewable Energy Limited,INE00M201021,NIFTY500 MULTICAP 50:25:25
1526,BALAMINES,BALAMINESEQN,Balaji Amines Limited,INE050E01027,NIFTY500 MULTICAP 50:25:25
1527,DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028,NIFTY500 MULTICAP 50:25:25
1528,MANAPPURAM,MANAPPURAMEQN,Manappuram Finance Limited,INE522D07784,NIFTY500 MULTICAP 50:25:25
1529,BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024,NIFTY500 MULTICAP 50:25:25
1530,APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024,NIFTY500 MULTICAP 50:25:25
1531,LAURUSLABS,LAURUSLABSEQN,Laurus Labs Limited,INE947Q01028,NIFTY500 MULTICAP 50:25:25
1532,JINDALSAW,JINDALSAWEQN,Jindal Saw Limited,INE324A01024,NIFTY500 MULTICAP 50:25:25
1533,LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY500 MULTICAP 50:25:25
1534,BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY500 MULTICAP 50:25:25
1535,INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016,NIFTY500 MULTICAP 50:25:25
1536,VEDL,VEDLEQN,Vedanta Limited,INE205A01025,NIFTY500 MULTICAP 50:25:25
1537,NSLNISP,NSLNISPEQN,NMDC Steel Limited,INE0NNS01018,NIFTY500 MULTICAP 50:25:25
1538,BLS,BLSEQN,BLS International Services Limited,INE153T01027,NIFTY500 MULTICAP 50:25:25
1539,CREDITACC,CREDITACCEQN,CREDITACCESS GRAMEEN LIMITED,INE741K01010,NIFTY500 MULTICAP 50:25:25
1540,JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018,NIFTY500 MULTICAP 50:25:25
1541,ELECON,ELECONEQN,Elecon Engineering Company Limited,INE205B01031,NIFTY500 MULTICAP 50:25:25
1542,JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030,NIFTY500 MULTICAP 50:25:25
1543,SCHNEIDER,SCHNEIDEREQN,Schneider Electric Infrastructure Limited,INE839M01018,NIFTY500 MULTICAP 50:25:25
1544,BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY500 MULTICAP 50:25:25
1545,ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042,NIFTY500 MULTICAP 50:25:25
1546,RHIM,RHIMEQN,RHI MAGNESITA INDIA LIMITED,INE743M01012,NIFTY500 MULTICAP 50:25:25
1547,CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A13011,NIFTY500 MULTICAP 50:25:25
1548,GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY500 MULTICAP 50:25:25
1549,NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY500 MULTICAP 50:25:25
1550,WIPRO,WIPROEQN,Wipro Limited,INE075A01022,NIFTY500 MULTICAP 50:25:25
1551,KPIL,KPILEQN,Kalpataru Projects International Limited,INE220B01022,NIFTY500 MULTICAP 50:25:25
1552,HFCL,HFCLEQN,HFCL Limited,INE548A01028,NIFTY500 MULTICAP 50:25:25
1553,FSL,FSLEQN,Firstsource Solutions Limited,INE684F01012,NIFTY500 MULTICAP 50:25:25
1554,OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY500 MULTICAP 50:25:25
1555,CANFINHOME,CANFINHOMEEQN,Can Fin Homes Limited,INE477A01020,NIFTY500 MULTICAP 50:25:25
1556,SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY500 MULTICAP 50:25:25
1557,SONATSOFTW,SONATSOFTWEQN,Sonata Software Limited,INE269A01021,NIFTY500 MULTICAP 50:25:25
1558,TATASTEEL,TATASTEELEQN,TATA Steel Limited,INE081A03018,NIFTY500 MULTICAP 50:25:25
1559,ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024,NIFTY500 MULTICAP 50:25:25
1560,METROPOLIS,METROPOLISEQN,Metropolis Healthcare Limited,INE112L01020,NIFTY500 MULTICAP 50:25:25
1561,SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A04014,NIFTY500 MULTICAP 50:25:25
1562,ATUL,ATULEQN,Atul Limited,INE100A01010,NIFTY500 MULTICAP 50:25:25
1563,DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY500 MULTICAP 50:25:25
1564,SCHAEFFLER,SCHAEFFLEREQN,Schaeffler India Limited,INE513A01022,NIFTY500 MULTICAP 50:25:25
1565,JMFINANCIL,JMFINANCILEQN,JM Financial Limited,INE780C01023,NIFTY500 MULTICAP 50:25:25
1566,SBILIFE,SBILIFEEQN,SBI Life Insurance Company Limited,INE123W01016,NIFTY500 MULTICAP 50:25:25
1567,LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019,NIFTY500 MULTICAP 50:25:25
1568,RAMCOCEM,RAMCOCEMEQN,The Ramco Cements Limited,INE331A01037,NIFTY500 MULTICAP 50:25:25
1569,HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027,NIFTY500 MULTICAP 50:25:25
1570,BLUESTARCO,BLUESTARCOEQN,Blue Star Limited,INE472A01039,NIFTY500 MULTICAP 50:25:25
1571,ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019,NIFTY500 MULTICAP 50:25:25
1572,HINDALCO,HINDALCOEQN,Hindalco Industries Limited,INE038A01020,NIFTY500 MULTICAP 50:25:25
1573,RCF,RCFEQN,Rashtriya Chemicals and Fertilizers Limited,INE027A01015,NIFTY500 MULTICAP 50:25:25
1574,FLUOROCHEM,FLUOROCHEMEQN,Gujarat Fluorochemicals Limited,INE09N301011,NIFTY500 MULTICAP 50:25:25
1575,PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY500 MULTICAP 50:25:25
1576,AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017,NIFTY500 MULTICAP 50:25:25
1577,INFY,INFYEQN,Infosys Limited,INE009A01021,NIFTY500 MULTICAP 50:25:25
1578,LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026,NIFTY500 MULTICAP 50:25:25
1579,NATIONALUM,NATIONALUMEQN,National Aluminium Company Limited,INE139A01034,NIFTY500 MULTICAP 50:25:25
1580,BIRLACORPN,BIRLACORPNEQN,Birla Corporation Limited,INE340A01012,NIFTY500 MULTICAP 50:25:25
1581,BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY500 MULTICAP 50:25:25
1582,VIJAYA,VIJAYAEQN,Vijaya Diagnostic Centre Limited,INE043W01024,NIFTY500 MULTICAP 50:25:25
1583,ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY500 MULTICAP 50:25:25
1584,ABB,ABBEQN,ABB India Limited,INE117A01022,NIFTY500 MULTICAP 50:25:25
1585,BALRAMCHIN,BALRAMCHINEQN,Balrampur Chini Mills Limited,INE119A01028,NIFTY500 MULTICAP 50:25:25
1586,HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014,NIFTY500 MULTICAP 50:25:25
1587,KARURVYSYA,KARURVYSYAEQN,Karur Vysya Bank Limited,INE036D01028,NIFTY500 MULTICAP 50:25:25
1588,RBLBANK,RBLBANKEQN,RBL Bank Limited,INE976G01028,NIFTY500 MULTICAP 50:25:25
1589,TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY500 MULTICAP 50:25:25
1590,COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014,NIFTY500 MULTICAP 50:25:25
1591,TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY500 MULTICAP 50:25:25
1592,INDIACEM,INDIACEMEQN,The India Cements Limited,INE383A01012,NIFTY500 MULTICAP 50:25:25
1593,HOMEFIRST,HOMEFIRSTEQN,Home First Finance Company India Limited,INE481N01025,NIFTY500 MULTICAP 50:25:25
1594,ASTRAZEN,ASTRAZENEQN,AstraZeneca Pharma India Limited,INE203A07019,NIFTY500 MULTICAP 50:25:25
1595,KEI,KEIEQN,KEI Industries Limited,INE878B01027,NIFTY500 MULTICAP 50:25:25
1596,AIAENG,AIAENGEQN,AIA Engineering Limited,INE212H01026,NIFTY500 MULTICAP 50:25:25
1597,BSOFT,BSOFTEQN,BIRLASOFT LIMITED,INE836A01035,NIFTY500 MULTICAP 50:25:25
1598,UPL,UPLEQN,UPL Limited,INE628A03016,NIFTY500 MULTICAP 50:25:25
1599,JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038,NIFTY500 MULTICAP 50:25:25
1600,LLOYDSME,LLOYDSMEEQN,Lloyds Metals And Energy Limited,INE281B01032,NIFTY500 MULTICAP 50:25:25
1601,NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024,NIFTY500 MULTICAP 50:25:25
1602,IDBI,IDBIEQN,IDBI Bank Limited,INE008A08267,NIFTY500 MULTICAP 50:25:25
1603,APARINDS,APARINDSEQN,Apar Industries Limited,INE372A01015,NIFTY500 MULTICAP 50:25:25
1604,INOXWIND,INOXWINDEQN,Inox Wind Limited,INE066P01011,NIFTY500 MULTICAP 50:25:25
1605,POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C07698,NIFTY500 MULTICAP 50:25:25
1606,ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015,NIFTY500 MULTICAP 50:25:25
1607,NUVAMA,NUVAMAEQN,Nuvama Wealth Management Limited,INE531F01015,NIFTY500 MULTICAP 50:25:25
1608,SUPREMEIND,SUPREMEINDEQN,Supreme Industries Limited,INE195A01028,NIFTY500 MULTICAP 50:25:25
1609,CHOLAHLDNG,CHOLAHLDNGEQN,Cholamandalam Financial Holdings Limited,INE149A01033,NIFTY500 MULTICAP 50:25:25
1610,ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011,NIFTY500 MULTICAP 50:25:25
1611,EXIDEIND,EXIDEINDEQN,Exide Industries Limited,INE302A01020,NIFTY500 MULTICAP 50:25:25
1612,CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY500 MULTICAP 50:25:25
1613,DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025,NIFTY500 MULTICAP 50:25:25
1614,RECLTD,RECLTDEQN,REC Limited,INE020B07IF7,NIFTY500 MULTICAP 50:25:25
1615,CRAFTSMAN,CRAFTSMANEQN,Craftsman Automation Limited,INE00LO01017,NIFTY500 MULTICAP 50:25:25
1616,ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY500 MULTICAP 50:25:25
1617,NHPC,NHPCEQN,NHPC Limited,INE848E07542,NIFTY500 MULTICAP 50:25:25
1618,LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY500 MULTICAP 50:25:25
1619,UCOBANK,UCOBANKEQN,UCO Bank,INE691A01018,NIFTY500 MULTICAP 50:25:25
1620,LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017,NIFTY500 MULTICAP 50:25:25
1621,M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026,NIFTY500 MULTICAP 50:25:25
1622,UNOMINDA,UNOMINDAEQN,UNO Minda Limited,INE405E01023,NIFTY500 MULTICAP 50:25:25
1623,THERMAX,THERMAXEQN,Thermax Limited,INE152A01029,NIFTY500 MULTICAP 50:25:25
1624,SRF,SRFEQN,SRF Limited,INE647A01010,NIFTY500 MULTICAP 50:25:25
1625,SIGNATURE,SIGNATUREEQN,Signatureglobal (India) Limited,INE903U01023,NIFTY500 MULTICAP 50:25:25
1626,MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY500 MULTICAP 50:25:25
1627,TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028,NIFTY500 MULTICAP 50:25:25
1628,APOLLOTYRE,APOLLOTYREEQN,Apollo Tyres Limited,INE438A01022,NIFTY500 MULTICAP 50:25:25
1629,MUTHOOTFIN,MUTHOOTFINEQN,Muthoot Finance Limited,INE414G07241,NIFTY500 MULTICAP 50:25:25
1630,MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035,NIFTY500 MULTICAP 50:25:25
1631,ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY500 MULTICAP 50:25:25
1632,UTIAMC,UTIAMCEQN,UTI Asset Management Company Limited,INE094J01016,NIFTY500 MULTICAP 50:25:25
1633,GRANULES,GRANULESEQN,Granules India Limited,INE101D01020,NIFTY500 MULTICAP 50:25:25
1634,ITC,ITCEQN,ITC Limited,INE154A01025,NIFTY500 MULTICAP 50:25:25
1635,TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023,NIFTY500 MULTICAP 50:25:25
1636,WELSPUNLIV,WELSPUNLIVEQN,Welspun Living Limited,INE192B01031,NIFTY500 MULTICAP 50:25:25
1637,AARTIIND,AARTIINDEQN,Aarti Industries Limited,INE769A01020,NIFTY500 MULTICAP 50:25:25
1638,IOB,IOBEQN,Indian Overseas Bank,INE565A01014,NIFTY500 MULTICAP 50:25:25
1639,MASTEK,MASTEKEQN,Mastek Limited,INE759A01021,NIFTY500 MULTICAP 50:25:25
1640,RATNAMANI,RATNAMANIEQN,Ratnamani Metals & Tubes Limited,INE703B01027,NIFTY500 MULTICAP 50:25:25
1641,TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022,NIFTY500 MULTICAP 50:25:25
1642,TITAN,TITANEQN,Titan Company Limited,INE280A07025,NIFTY500 MULTICAP 50:25:25
1643,EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021,NIFTY500 MULTICAP 50:25:25
1644,GNFC,GNFCEQN,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,NIFTY500 MULTICAP 50:25:25
1645,BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A13011,NIFTY500 MULTICAP 50:25:25
1646,USHAMART,USHAMARTEQN,Usha Martin Limited,INE228A01035,NIFTY500 MULTICAP 50:25:25
1647,VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021,NIFTY500 MULTICAP 50:25:25
1648,BRIGADE,BRIGADEEQN,Brigade Enterprises Limited,INE791I01019,NIFTY500 MULTICAP 50:25:25
1649,GRINDWELL,GRINDWELLEQN,Grindwell Norton Limited,INE536A01023,NIFTY500 MULTICAP 50:25:25
1650,TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012,NIFTY500 MULTICAP 50:25:25
1651,CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY500 MULTICAP 50:25:25
1652,BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010,NIFTY500 MULTICAP 50:25:25
1653,LT,LTEQN,Larsen & Toubro Limited,INE018A01030,NIFTY500 MULTICAP 50:25:25
1654,MOTILALOFS,MOTILALOFSEQN,Motilal Oswal Financial Services Limited,INE338I01027,NIFTY500 MULTICAP 50:25:25
1655,IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038,NIFTY500 MULTICAP 50:25:25
1656,ASTERDM,ASTERDMEQN,Aster DM Healthcare Limited,INE914M01019,NIFTY500 MULTICAP 50:25:25
1657,AFFLE,AFFLEEQN,Affle (India) Limited,INE00WC01027,NIFTY500 MULTICAP 50:25:25
1658,MAHSEAMLES,MAHSEAMLESEQN,Maharashtra Seamless Limited,INE271B01025,NIFTY500 MULTICAP 50:25:25
1659,CHAMBLFERT,CHAMBLFERTEQN,Chambal Fertilizers & Chemicals Limited,INE085A01013,NIFTY500 MULTICAP 50:25:25
1660,TATAMTRDVR,TATAMTRDVREQN,Tata Motors Limited,IN9155A01020,NIFTY500 MULTICAP 50:25:25
1661,ZEEL,ZEELEQN,Zee Entertainment Enterprises Limited,INE256A04022,NIFTY500 MULTICAP 50:25:25
1662,JAIBALAJI,JAIBALAJIBEN,Jai Balaji Industries Limited,INE091G01018,NIFTY500 MULTICAP 50:25:25
1663,SYRMA,SYRMAEQN,Syrma SGS Technology Limited,INE0DYJ01015,NIFTY500 MULTICAP 50:25:25
1664,PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY500 MULTICAP 50:25:25
1665,KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028,NIFTY500 MULTICAP 50:25:25
1666,CAPLIPOINT,CAPLIPOINTEQN,Caplin Point Laboratories Limited,INE475E01026,NIFTY500 MULTICAP 50:25:25
1667,MINDACORP,MINDACORPEQN,Minda Corporation Limited,INE842C01021,NIFTY500 MULTICAP 50:25:25
1668,BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038,NIFTY500 MULTICAP 50:25:25
1669,STLTECH,STLTECHEQN,Sterlite Technologies Limited,INE089C01029,NIFTY500 MULTICAP 50:25:25
1670,DLF,DLFEQN,DLF Limited,INE271C01023,NIFTY500 MULTICAP 50:25:25
1671,SAREGAMA,SAREGAMAEQN,Saregama India Limited,INE979A01025,NIFTY500 MULTICAP 50:25:25
1672,JKLAKSHMI,JKLAKSHMIEQN,JK Lakshmi Cement Limited,INE786A01032,NIFTY500 MULTICAP 50:25:25
1673,HINDCOPPER,HINDCOPPEREQN,Hindustan Copper Limited,INE531E01026,NIFTY500 MULTICAP 50:25:25
1674,EIHOTEL,EIHOTELEQN,EIH Limited,INE230A01023,NIFTY500 MULTICAP 50:25:25
1675,ZFCVINDIA,ZFCVINDIAEQN,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,NIFTY500 MULTICAP 50:25:25
1676,ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011,NIFTY500 MULTICAP 50:25:25
1677,NLCINDIA,NLCINDIAEQN,NLC India Limited,INE589A01014,NIFTY500 MULTICAP 50:25:25
1678,NUVOCO,NUVOCOEQN,Nuvoco Vistas Corporation Limited,INE118D01016,NIFTY500 MULTICAP 50:25:25
1679,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY500 MULTICAP 50:25:25
1680,TANLA,TANLAEQN,Tanla Platforms Limited,INE483C01032,NIFTY500 MULTICAP 50:25:25
1681,ALKYLAMINE,ALKYLAMINEEQN,Alkyl Amines Chemicals Limited,INE150B01039,NIFTY500 MULTICAP 50:25:25
1682,ABBOTINDIA,ABBOTINDIAEQN,Abbott India Limited,INE358A01014,NIFTY500 MULTICAP 50:25:25
1683,SUVENPHAR,SUVENPHAREQN,Suven Pharmaceuticals Limited,INE03QK01018,NIFTY500 MULTICAP 50:25:25
1684,DEEPAKFERT,DEEPAKFERTEQN,Deepak Fertilizers And Petrochemicals Corporation Limited,INE501A01019,NIFTY500 MULTICAP 50:25:25
1685,METROBRAND,METROBRANDEQN,Metro Brands Limited,INE317I01021,NIFTY500 MULTICAP 50:25:25
1686,KPRMILL,KPRMILLEQN,K.P.R. Mill Limited,INE930H01031,NIFTY500 MULTICAP 50:25:25
1687,NAM-INDIA,NAM-INDIAEQN,Nippon Life India Asset Management Limited,INE298J01013,NIFTY500 MULTICAP 50:25:25
1688,LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024,NIFTY500 MULTICAP 50:25:25
1689,JSL,JSLEQN,Jindal Stainless Limited,INE220G01021,NIFTY500 MULTICAP 50:25:25
1690,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY500 MULTICAP 50:25:25
1691,BIOCON,BIOCONEQN,Biocon Limited,INE376G01013,NIFTY500 MULTICAP 50:25:25
1692,PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035,NIFTY500 MULTICAP 50:25:25
1693,RAINBOW,RAINBOWEQN,Rainbow Childrens Medicare Limited,INE961O01016,NIFTY500 MULTICAP 50:25:25
1694,CENTURYTEX,CENTURYTEXEQN,Century Textiles & Industries Limited,INE055A01016,NIFTY500 MULTICAP 50:25:25
1695,INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012,NIFTY500 MULTICAP 50:25:25
1696,PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY500 MULTICAP 50:25:25
1697,BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039,NIFTY500 MULTICAP 50:25:25
1698,ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY500 MULTICAP 50:25:25
1699,INDIANB,INDIANBEQN,Indian Bank,INE562A01011,NIFTY500 MULTICAP 50:25:25
1700,CANBK,CANBKEQN,Canara Bank,INE476A01022,NIFTY500 MULTICAP 50:25:25
1701,EIDPARRY,EIDPARRYEQN,EID Parry India Limited,INE126A01031,NIFTY500 MULTICAP 50:25:25
1702,GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021,NIFTY500 MULTICAP 50:25:25
1703,SBFC,SBFCEQN,SBFC Finance Limited,INE423Y01016,NIFTY500 MULTICAP 50:25:25
1704,JBMA,JBMAEQN,JBM Auto Limited,INE927D01044,NIFTY500 MULTICAP 50:25:25
1705,TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029,NIFTY500 MULTICAP 50:25:25
1706,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017,NIFTY500 MULTICAP 50:25:25
1707,TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021,NIFTY500 MULTICAP 50:25:25
1708,ALOKINDS,ALOKINDSEQN,Alok Industries Limited,INE270A01029,NIFTY500 MULTICAP 50:25:25
1709,MANYAVAR,MANYAVAREQN,Vedant Fashions Limited,INE825V01034,NIFTY500 MULTICAP 50:25:25
1710,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY500 MULTICAP 50:25:25
1711,ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026,NIFTY500 MULTICAP 50:25:25
1712,HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY500 MULTICAP 50:25:25
1713,APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027,NIFTY500 MULTICAP 50:25:25
1714,GPPL,GPPLEQN,Gujarat Pipavav Port Limited,INE517F01014,NIFTY500 MULTICAP 50:25:25
1715,ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021,NIFTY500 MULTICAP 50:25:25
1716,ASAHIINDIA,ASAHIINDIAEQN,Asahi India Glass Limited,INE439A01020,NIFTY500 MULTICAP 50:25:25
1717,RTNINDIA,RTNINDIAEQN,RattanIndia Enterprises Limited,INE834M01019,NIFTY500 MULTICAP 50:25:25
1718,VBL,VBLEQN,Varun Beverages Limited,INE200M01021,NIFTY500 MULTICAP 50:25:25
1719,GAEL,GAELEQN,Gujarat Ambuja Exports Limited,INE036B01030,NIFTY500 MULTICAP 50:25:25
1720,DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051,NIFTY500 MULTICAP 50:25:25
1721,CENTRALBK,CENTRALBKEQN,Central Bank of India,INE483A01010,NIFTY500 MULTICAP 50:25:25
1722,TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012,NIFTY500 MULTICAP 50:25:25
1723,SAMMAANCAP,SAMMAANCAPEQN,Sammaan Capital Limited,INE148I07NN5,NIFTY500 MULTICAP 50:25:25
1724,PNBHOUSING,PNBHOUSINGEQN,PNB Housing Finance Limited,INE572E01012,NIFTY500 MULTICAP 50:25:25
1725,HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026,NIFTY500 MULTICAP 50:25:25
1726,POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010,NIFTY500 MULTICAP 50:25:25
1727,BLUEDART,BLUEDARTEQN,Blue Dart Express Limited,INE233B08103,NIFTY500 MULTICAP 50:25:25
1728,KAYNES,KAYNESEQN,Kaynes Technology India Limited,INE918Z01012,NIFTY500 MULTICAP 50:25:25
1729,IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027,NIFTY500 MULTICAP 50:25:25
1730,RRKABEL,RRKABELEQN,R R Kabel Limited,INE777K01022,NIFTY500 MULTICAP 50:25:25
1731,MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014,NIFTY500 MULTICAP 50:25:25
1732,FINCABLES,FINCABLESEQN,Finolex Cables Limited,INE235A01022,NIFTY500 MULTICAP 50:25:25
1733,AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY500 MULTICAP 50:25:25
1734,ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016,NIFTY500 MULTICAP 50:25:25
1735,IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY500 MULTICAP 50:25:25
1736,PGHH,PGHHEQN,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,NIFTY500 MULTICAP 50:25:25
